ICD10_code,Description,Category
A00,Χολέρα,A
A00.0,"Χολέρα από δονάκιο της χολέρας [Vibrio cholerae] 01, βιότυπο  cholerae",A
A00.1,"Χολέρα από στο δονάκιο της χολέρας [Vibrio cholerae] 01, βιότυπο eltor",A
A00.9,"Χολέρα, μη καθορισμένη",A
A01,Τυφοειδείς και παρατυφοειδείς πυρετοί,A
A01.0,Τυφοειδής πυρετός,A
A01.1,Παρατυφοειδής πυρετός A,A
A01.2,Παρατυφοειδής πυρετός B,A
A01.3,Παρατυφοειδής πυρετός C,A
A01.4,"Παρατυφοειδής πυρετός, μη καθορισμένος",A
A02,Άλλες λοιμώξεις από σαλμονέλλα,A
A02.0,Εντερίτιδα από σαλμονέλλα,A
A02.1,Σηψαιμία από σαλμονέλλα,A
A02.2,Εντοπισμένες λοιμώξεις από σαλμονέλλα,A
A02.8,Άλλες καθορισμένες λοιμώξεις από σαλμονέλλα,A
A02.9,"Λοίμωξη από σαλμονέλλα, μη καθορισμένη",A
A03,Σιγκέλλωση,A
A03.0,Σιγκέλλωση από σιγκέλλα της δυσεντερίας [Shigella dysenteriae],A
A03.1,Σιγκέλλωση από Shigella flexneri,A
A03.2,Σιγκέλλωση από Shigella boydii,A
A03.3,Σιγκέλλωση από Shigella sonnei,A
A03.8,Άλλη σιγκέλλωση,A
A03.9,"Σιγκέλλωση, μη καθορισμένη",A
A04,Άλλες βακτηριακές εντερικές λοιμώξεις,A
A04.0,Εντερίτιδα  από εντεροπαθογόνο κολοβακτηρίδιο [Escherichia coli],A
A04.1,Εντερίτιδα  από εντεροτοξινογόνο  κολοβακτηρίδιο [Escherichia coli],A
A04.2,Εντερίτιδα  από εντεροεισβολικό κολοβακτηρίδιο [Escherichia coli],A
A04.3,Εντερίτιδα  από εντεροαιμορραγικό  κολοβακτηρίδιο [Escherichia coli],A
A04.4,Άλλες εντερίτιδες  από κολοβακτηρίδια,A
A04.5,Εντερίτιδα  από καμπυλοβακτηρίδιο,A
A04.6,Εντερίτιδα από Yersinia enterecolitica,A
A04.7,Εντεροκολίτιδα από Clostridium difficile,A
A04.8,Άλλες καθορισμένες βακτηριακές εντερικές λοιμώξεις,A
A04.9,Βακτηριακή εντερική λοίμωξη ΜΚΑ,A
A05,"Άλλες βακτηριακές τροφιμογενείς δηλητηριάσεις, που δεν ταξινομούνται αλλού",A
A05.0,Τροφιμογενής σταφυλοκοκκική δηλητηρίαση,A
A05.1,Αλλαντίαση,A
A05.2,Τροφιμογενής δηλητηρίαση από Clostridium perfringens [Clostridium welchii],A
A05.3,Τροφική δηλητηρίαση από Vibrio parahaemolyticus,A
A05.4,Τροφική δηλητηρίαση από Βacillus cereus,A
A05.8,Άλλες καθορισμένες βακτηριακές τροφικές δηλητηριάσεις,A
A05.9,"Βακτηριακή τροφιμογενής δηλητηρίαση, μη καθορισμένη",A
A06,Αμοιβάδωση,A
A06.0,Οξεία αμοιβαδική δυσεντερία,A
A06.1,Χρόνια εντερική αμοιβάδωση,A
A06.2,Αμοιβαδική μη δυσεντερική κολίτιδα,A
A06.3,Αμοιβάδωμα του εντέρου,A
A06.4,Αμοιβαδικό ηπατικό απόστημα,A
A06.7,Αμοιβάδωση του δέρματος,A
A06.8,Αμοιβαδική λοίμωξη άλλων εντοπίσεων,A
A06.9,"Αμοιβάδωση, μη καθορισμένη",A
A07,Άλλες πρωτοζωϊκές λοιμώξεις του εντέρου,A
A07.0,Βαλαντιδίαση,A
A07.1,Τζιαρντίαση [λαμβλίαση],A
A07.2,Κρυπτοσποριδίωση,A
A07.3,Ισοσπορίαση,A
A07.8,Άλλες καθορισμένες πρωτοζωϊκές εντερικές λοιμώξεις,A
A07.9,"Πρωτοζωϊκή εντερική λοίμωξη, μη καθορισμένη",A
A08,Ιογενείς και άλλες καθορισμένες εντερικές λοιμώξεις,A
A08.0,Εντερίτιδα απο ροταϊούς,A
A08.1,Οξεία γαστρεντεροπάθεια από παράγοντα Norwalk,A
A08.2,Εντερίτιδα από αδενοϊό,A
A08.3,Άλλη ιογενής εντερίτιδα,A
A08.4,"Ιογενής εντερική λοίμωξη, μη καθορισμένη",A
A08.5,Άλλες καθορισμένες εντερικές λοιμώξεις,A
A09,Διάρροια και γαστρεντερίτιδα  που θεωρείται λοιμώδους προέλευσης,A
A15,"Φυματίωση του αναπνευστικού συστήματος, βακτηριολογικά και ιστολογικά επιβεβαιωμένη",A
A15.0,"Φυματίωση του πνεύμονα, επιβεβαιωμένη με μικροσκοπική εξέταση πτυέλων με ή χωρίς καλλιέργεια",A
A15.1,"Φυματίωση του πνεύμονα, επιβεβαιωμένη μόνο με καλλιέργεια",A
A15.2,"Φυματίωση του πνεύμονα, επιβεβαιωμένη ιστολογικά",A
A15.3,"Φυματίωση του πνεύμονα, επιβεβαιωμένη με μη καθορισμένα μέσα",A
A15.4,"Φυματίωση των ενδοθωρακικών λεμφαδένων, επιβεβαιωμένη βακτηριολογικά και ιστολογικά",A
A15.5,"Φυματίωση του λάρυγγα, της τραχείας και των βρόγχων, επιβεβαιωμένη βακτηριολογικά και ιστολογικά",A
A15.6,"Φυματιώδης πλευρίτιδα, επιβεβαιωμένη βακτηριολογικά και ιστολογικά",A
A15.7,"Πρωτοπαθής φυματίωση του αναπνευστικού, επιβεβαιωμένη βακτηριολογικά και ιστολογικά",A
A15.8,"Άλλες μορφές φυματίωσης του αναπνευστικού, επιβεβαιωμένες βακτηριολογικά και ιστολογικά",A
A15.9,"Φυματίωση του αναπνευστικού μη καθορισμένη, επιβεβαιωμένη βακτηριολογικά και ιστολογικά",A
A16,"Φυματίωση του αναπνευστικού, που δεν έχει επιβεβαιωθεί βακτηριολογικά και ιστολογικά",A
A16.0,"Φυματίωση του πνεύμονα, βακτηριολογικά και ιστολογικά αρνητική",A
A16.1,"Φυματίωση του πνεύμονα, που δεν έχει γίνει βακτηριολογική και ιστολογική εξέταση",A
A16.2,"Φυματίωση του πνεύμονα, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση",A
A16.3,"Φυματίωση των ενδοθωρακικών λεμφαδένων, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση",A
A16.4,"Φυματίωση του λάρυγγα, της τραχείας και των βρόγχων, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση",A
A16.5,"Φυματιώδης πλευρίτιδα, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση",A
A16.7,Πρωτοπαθής φυματίωση του αναπνευστικού χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση,A
A16.8,"Άλλες μορφές φυματίωσης του αναπνευστικού, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση",A
A16.9,"Φυματίωση του αναπνευστικού μη καθορισμένη, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση",A
A18,Φυματίωση άλλων οργάνων,A
A18.1,Φυματίωση του ουρογεννητικού συστήματος,A
A18.2,Φυματιώδης περιφερική λεμφαδενοπάθεια,A
A18.3,"Φυματίωση των εντέρων, του περιτοναίου και των μεσεντέριων αδένων",A
A18.4,Φυματίωση του δέρματος και του υποδόριου ιστού,A
A18.5,Φυματίωση του οφθαλμού,A
A18.6,Φυματίωση του ωτός,A
A18.8,Φυματίωση άλλων καθορισμένων οργάνων,A
A19,Κεχροειδής φυματίωση,A
A19.0,Οξεία κεχροειδής φυματίωση μονήρους καθορισμένης εντόπισης,A
A19.1,Οξεία κεχροειδής φυματίωση πολλαπλών εντοπίσεων,A
A19.2,"Οξεία κεχροειδής φυματίωση, μη καθορισμένη",A
A19.8,Άλλη κεχροειδής φυματίωση,A
A19.9,"Κεχροειδής φυματίωση, μη καθορισμένη",A
A20,Πανώλης,A
A20.0,Βουβωνική πανώλης,A
A20.1,Δερματική πανώλης,A
A20.2,Πνευμονική πανώλης,A
A20.3,Μηνιγγίτιδα από πανώλη,A
A20.7,Σηψαιμική πανώλης,A
A20.8,Άλλες μορφές πανώλους,A
A20.9,"Πανώλης, μη καθορισμένη",A
A21,Τουλαραιμία,A
A21.0,Ελκοαδενική τουλαραιμία,A
A21.1,Οφθαλμοαδενική τουλαραιμία,A
A21.2,Πνευμονική τουλαραιμία,A
A21.3,Γαστρεντερική τουλαραιμία,A
A21.7,Γενικευμένη τουλαραιμία,A
A21.8,Άλλες μορφές τουλαραιμίας,A
A21.9,"Τουλαραιμία, μη καθορισμένη",A
A22,Άνθρακας,A
A22.0,Δερματικός άνθρακας,A
A22.1,Πνευμονικός άνθρακας,A
A22.2,Γαστρεντερικός άνθρακας,A
A22.7,Σηψαιμία από άνθρακα,A
A22.8,Άλλες μορφές άνθρακα,A
A22.9,"Άνθρακας, μη καθορισμένος",A
A23,Βρουκέλλωση,A
A23.0,Βρουκέλωση από Brucella melitensis,A
A23.1,Βρουκέλωση από Brucella abortus,A
A23.2,Βρουκέλωση  από Brucella suis,A
A23.3,Βρουκέλωση απόBrucella canis,A
A23.8,Άλλη βρουκέλλωση,A
A23.9,"Βρουκέλλωση, μη καθορισμένη",A
A24,Μάλη και μελιοείδωση,A
A24.0,Μάλη,A
A24.1,Οξεία και κεραυνοβόλος μελιοείδωση,A
A24.2,Υποξεία και χρόνια μελιοείδωση,A
A24.3,Άλλη  μελιοείδωση,A
A24.4,"Μελιοείδωση, μη καθορισμένη",A
A25,Πυρετοί από δάγκωμα επίμυος,A
A25.0,Σπειρίλλωση,A
A25.1,Στρεπτοβακίλλωση,A
A25.9,"Πυρετός από δάγκωμα επίμυος, μη καθορισμένος",A
A26,Ερυσιπελοειδές,A
A26.0,Δερματικό ερυσιπελοειδές,A
A26.7,Σηψαιμία από Erysipelothrix,A
A26.8,Άλλες μορφές ερυσιπελοειδούς,A
A26.9,"Ερυσιπελοειδές, μη καθορισμένο",A
A27,Λεπτοσπείρωση,A
A27.0,Ικτεροαιμορραγική λεπτοσπείρωση,A
A27.8,Άλλες μορφές λεπτοσπείρωσης,A
A27.9,"Λεπτοσπείρωση, μη καθορισμένη",A
A28,"Άλλες βακτηριακές ζωοανθρωπονόσοι, που δεν ταξινομούνται αλλού",A
A28.0,Παστερέλλωση,A
A28.1,Νόσος από αμυχές γάτας,A
A28.2,Εξωεντερική υερσινίωση,A
A28.8,"Άλλες καθορισμένες βακτηριακές ζωοανθρωπονόσοι, που δεν ταξινομούνται αλλού",A
A28.9,"Βακτηριακή ζωοανθρωπονόσος, μη καθορισμένη",A
A30,Λέπρα [νόσος του Hansen],A
A30.0,Ακαθόριστη λέπρα,A
A30.1,Φυματιώδης λέπρα,A
A30.2,Οριακή φυματιώδης λέπρα,A
A30.3,Οριακή λέπρα,A
A30.4,Οριακή λεπρωματώδης λέπρα,A
A30.5,Λεπρωματώδης λέπρα,A
A30.8,Άλλες μορφές λέπρας,A
A30.9,"Λέπρα, μη καθορισμένη",A
A31,Λοίμωξη από άλλα μυκοβακτηρίδια,A
A31.0,Πνευμονική μυκοβακτηριδιακή λοίμωξη,A
A31.1,Δερματική μυκοβακτηριδιακή λοίμωξη,A
A31.8,Άλλες μυκοβακτηριδιακές λοιμώξεις,A
A31.9,"Μυκοβακτηριδιακή λοίμωξη, μη καθορισμένη",A
A32,Λιστερίωση,A
A32.0,Δερματική λιστερίωση,A
A32.7,Σηψαιμία από λιστέρια,A
A32.8,Άλλες μορφές λιστερίωσης,A
A32.9,"Λιστερίωση, μη καθορισμένη",A
A33,Τέτανος νεογνικός,A
A34,Τέτανος μαιευτικός,A
A35,Άλλα είδη τετάνου,A
A36,Διφθερίτιδα,A
