KEN_id,Description,Base_cost,AverageStay,Additional_daily_cost
Ε01Α,Μεταμόσχευση ήπατος,28907,26,1111.807692
Ε03Α,Μεταμόσχευση καρδιάς- πνευμόνων,50379,35,1439.4
Ε04Α,Μεταμοσχεύσεις Πνευμόνων,30015,20,1500.75
Ε05Α,Μεταμόσχευση Καρδιάς,34279,40,856.975
Ε06Μ,Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,39863,47,848.1489362
Ε06Χα,Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,20597,25,823.88
Ε06Χβ,Μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,15548,16,971.75
Ε06Χγ,Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,8261,15,550.7333333
Ε07Α,Αλλογενής μεταμόσχευση μυελού οστών,26508,34,779.6470588
Ε08Μ,Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,10017,24,417.375
Ε08Χ,Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,3683,10,368.3
Ε09Α,Μεταμόσχευση νεφρού+παγκρέατος,15346,16,959.125
Ε09Β,Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος,9669,8,1208.625
Ε09Γ,Μεταμόσχευση παγκρέατος,10706,15,713.7333333
Ε10Α,Εμφύτευση συσκευών κοιλιακής υποβοήθησης,94009,54,1740.907407
Ε11Μ,Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης σπονδυλικής στήλης με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,10704,15,713.6
Ε11Χ,Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης σπονδυλικής στήλης χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,5302,6,883.6666667
Ε12Α,Εμφύτευση συσκευής νευροδιέγερσης,6414,3,2138
Ε13Α,Εξωσωματική συσκευή οξυγόνωσης ECMO,37063,31,1195.580645
Ν01Μ,Επανεπέμβαση κοιλιακής παροχεύτεσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2528,7,361.1428571
Ν01Χ,Επανεπέμβαση κοιλιακής παροχεύτεσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1980,5,396
Ν02Μα,Επεμβάσεις κρανίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,7730,18,429.4444444
Ν02Μβ,Επεμβάσεις κρανίου με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,4721,11,429.1818182
Ν02Χ,Επεμβάσεις κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3836,7,548
Ν03Μ,Επεμβάσεις σπονδυλικής στήλης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,5914,15,394.2666667
Ν03Χ,Επεμβάσεις σπονδυλικής στήλης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3990,5,798
Ν04Μ,Εξωκράνιες αγγειοχειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4267,12,355.5833333
Ν04Χ,Εξωκράνιες αγγειοχειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2470,4,617.5
Ν05Α,Αποσυμπίεση καρπιαίου σωλήνα,439,1,439
Ν06Μ,Επεμβάσεις για παράλυση προσωπικού νεύρου. μυϊκή δυστροφία. νευροπάθεια με συνυπάρχουσες παθήσεις - επιπλοκές,3297,13,253.6153846
Ν06Χ,Επεμβάσεις για παράλυση προσωπικού νεύρου. μυϊκή δυστροφία. νευροπάθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,969,2,484.5
Ν07Μ,Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος με συνυπάρχουσες παθήσεις - επιπλοκές,2513,9,279.2222222
Ν07Χ,Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1110,2,555
Ν10Α,Πλασμαφαίρεση με νευρολογική νόσο-συμμετοχή. την ίδια ημέρα,163,1,163
Ν11Α,Τηλεμετρικός έλεγχος-καταγραφή ηλεκτροεγκεφαλογραφήματος,1331,5,266.2
