Medicine_id,Name
1,A
2,A 313
3,A.A.S
4,A.A.S.
5,A.Vogel Hyperiforce
6,A.Vogel Premenstrual Relief Pms
7,Aaa Sore Throat
8,Aacidexam
9,Aacifemine
10,Aarane N
11,Aas
12,Abacat
13,Abacavir / Lamivudine Auxilia
14,Abacavir / Lamivudine Biogaran
15,Abacavir + Lamivudina Aurovitas
16,Abacavir + Lamivudina Farmoz
17,Abacavir + Lamivudina Mylan
18,Abacavir + Lamivudine Sandoz
19,Abacavir Accord
20,Abacavir Arrow
21,Abacavir Aurobindo
22,Abacavir E Lamivudina Aurobindo
23,Abacavir E Lamivudina Sun
24,Abacavir Farmoz
25,Abacavir Generis
26,Abacavir Milpharm
27,Abacavir Mylan
28,Abacavir Sandoz
29,Abacavir Sulfate / Lamivudine Aurobindo
30,Abacavir Tarbis
31,Abacavir Viatris
32,Abacavir/Lamivudin Al
33,Abacavir/Lamivudin Aurobindo
34,Abacavir/Lamivudin Basics
35,Abacavir/Lamivudin Beta
36,Abacavir/Lamivudin Heumann
37,Abacavir/Lamivudin Hormosan
38,Abacavir/Lamivudin Medical Valley
39,Abacavir/Lamivudin Mylan
40,Abacavir/Lamivudin Mylan Pharma
41,Abacavir/Lamivudin Puren
42,Abacavir/Lamivudin Ratiopharm
43,Abacavir/Lamivudin Sandoz
44,Abacavir/Lamivudin Stada
45,Abacavir/Lamivudin Teva
46,Abacavir/Lamivudin Viatris
47,Abacavir/Lamivudină
48,Abacavir/Lamivudina Aurovitas
49,Abacavir/Lamivudina Dr. Reddys
50,Abacavir/Lamivudina Glenmark
51,Abacavir/Lamivudina Kern Pharma
52,Abacavir/Lamivudina Macleods
53,Abacavir/Lamivudină Mylan
54,Abacavir/Lamivudina Tarbis
55,Abacavir/Lamivudina Teva
56,Abacavir/Lamivudina Viatris
57,Abacavir/Lamivudină Viatris
58,Abacavir/Lamivudina/Zidovudina Mylan
59,Abacavir/Lamivudine Accord
60,Abacavir/Lamivudine Amarox
61,Abacavir/Lamivudine Arrow
62,Abacavir/Lamivudine Auxilia
63,Abacavir/Lamivudine Dr. Reddy's
64,Abacavir/Lamivudine Eg
65,Abacavir/Lamivudine Glenmark
66,Abacavir/Lamivudine Lupin Healthcare (Uk)
67,Abacavir/Lamivudine Macleods
68,Abacavir/Lamivudine Macleods Pharma Uk
69,Abacavir/Lamivudine Medical Valley
70,Abacavir/Lamivudine Milpharm
71,Abacavir/Lamivudine Mylan
72,Abacavir/Lamivudine Mylan Pharma
73,Abacavir/Lamivudine Sandoz
74,Abacavir/Lamivudine Stada
75,Abacavir/Lamivudine Sun
76,Abacavir/Lamivudine Teva
77,Abacavir/Lamivudine Unifarma
78,Abacavir/Lamivudine Viatris
79,Abacavir/Lamivudine Viatris Generiques
80,Abacavir/Lamivudine Zentiva
81,Abacavir/Lamivudine/Zidovudine Mylan
82,Abacavir/Lamivudine/Zidovudine Viatris
83,Abacavir+lamivudine Accord
84,Abacavir+lamivudine Mylan Pharma
85,Abagat
