Department	Year	KEN_id	KEN_Description	Insurance	Total_Hospitalisations	Total_Base_Cost	Total_Extra_Cost	Total_Revenue
Cardiology	2026	Δ25Χ	Τραύμα στο δέρμα . υποδορίου και του μαστού χωρίς καταστ. η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	350.00	875.00	2725.00
Cardiology	2026	Δ28Χ	Μείζονες παθήσεις χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	965.00	1930.00	3410.00
Cardiology	2026	Ε03Α	Μεταμόσχευση καρδιάς- πνευμόνων	EFKA	1	50379.00	0.00	4095.00
Cardiology	2026	Ε06Χβ	Μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	Private	1	15548.00	0.00	4780.00
Cardiology	2026	Ε09Α	Μεταμόσχευση νεφρού+παγκρέατος	Uninsured	1	15346.00	0.00	5465.00
Cardiology	2026	Ε11Χ	Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης σπονδυλικής στήλης χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	Public	1	5302.00	1767.34	6150.00
Emergency	2026	Δ24Μ	Κυτταρίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1619.00	0.00	2314.00
Emergency	2026	Δ27Χ	Ελάσσονες παθήσεις του δέρματος την ίδια ημέρα	EFKA	1	199.00	1592.00	2999.00
Emergency	2026	Δ29Μ	Κακοήθειες του δέρματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	2171.00	0.00	3684.00
Emergency	2026	Ε05Α	Μεταμόσχευση Καρδιάς	Uninsured	1	34279.00	0.00	4369.00
Emergency	2026	Ε07Α	Αλλογενής μεταμόσχευση μυελού οστών	Public	1	26508.00	0.00	5054.00
Emergency	2026	Ε09Γ	Μεταμόσχευση παγκρέατος	EFKA	1	10706.00	0.00	5739.00
ICU	2026	Δ24Χ	Κυτταρίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	802.00	200.50	2451.00
ICU	2026	Δ28Α	Μείζονες (μεγάλης βαρύτητας) παθήσεις την ίδια ημέρα	Private	1	382.00	3438.00	3136.00
ICU	2026	Δ29Χ	Κακοήθειες του δέρματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1377.00	0.00	3821.00
ICU	2026	Ε06Μ	Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	Public	1	39863.00	0.00	4506.00
ICU	2026	Ε08Μ	Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	EFKA	1	10017.00	0.00	5191.00
ICU	2026	Ε10Α	Εμφύτευση συσκευών κοιλιακής υποβοήθησης	Private	1	94009.00	0.00	5876.00
Pathology	2026	Δ25Μ	Τραύμα στο δέρμα . υποδορίου και του μαστού με καταστ. η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	1105.00	0.00	2588.00
Pathology	2026	Δ28Μ	Μείζονες παθήσεις με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1969.00	196.90	3273.00
Pathology	2026	Ε01Α	Μεταμόσχευση ήπατος	Public	1	28907.00	0.00	3958.00
Pathology	2026	Ε06Χα	Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	EFKA	1	20597.00	0.00	4643.00
Pathology	2026	Ε08Χ	Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	Private	1	3683.00	0.00	5328.00
Pathology	2026	Ε11Μ	Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης σπονδυλικής στήλης με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	Uninsured	1	10704.00	0.00	6013.00
Surgery	2026	Δ27Μ	Ελάσσονες παθήσεις του δέρματος	Public	1	708.00	1180.00	2862.00
Surgery	2026	Δ29Α	Κακοήθειες του δέρματος την ίδια ημέρα	EFKA	1	161.00	1932.00	3547.00
Surgery	2026	Ε04Α	Μεταμοσχεύσεις Πνευμόνων	Private	1	30015.00	0.00	4232.00
Surgery	2026	Ε06Χγ	Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	Uninsured	1	8261.00	0.00	4917.00
Surgery	2026	Ε09Β	Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος	Public	1	9669.00	0.00	5602.00
Cardiology	2025	Α36Α	Φυματίωση αναπνευστικού	Uninsured	1	2412.00	0.00	4905.00
Cardiology	2025	Β03Α	Επεμβάσεις Πέους	Public	1	771.00	3855.00	5590.00
Cardiology	2025	Β10Α	Κυστεοσκόπηση. την ίδια ημέρα	EFKA	1	220.00	880.00	6275.00
Cardiology	2025	Β23Α	Αντρική στείρωση	Private	1	316.00	2844.00	1760.00
Cardiology	2025	Γ05Μ	Χειρουργική αφαίρεση ωοθηκών και σαλπίγγων για μη κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	2147.00	0.00	2445.00
Cardiology	2025	Γ08Α	Ενδοσκοπικές και λαπαροσκοπικές Επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα	Public	1	719.00	5033.00	3130.00
Cardiology	2025	Γ12Χ	Επέμβαση για κακοήθεια μήτρας και δευτερευόντων οργάνων χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	1963.00	4416.75	3815.00
Cardiology	2025	Δ01Μ	Μεταφορά μικροαγγειακού μοσχεύματος για διαταραχές δέρματος. υποδορίου ιστού και μαστού με καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	Private	1	8557.00	0.00	4500.00
Cardiology	2025	Δ08Χ	Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός χωρίς συνυπάρχουσες παθήσεις – επιπλοκές	Uninsured	1	791.00	3559.50	5185.00
Cardiology	2025	Δ12Χα	Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα. χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού	Public	1	3097.00	0.00	5870.00
Cardiology	2025	Δ20Α	Δερματικά έλκη. την ίδια ημέρα	EFKA	1	171.00	1368.00	1355.00
Cardiology	2025	Δ23Μ	μη-κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	965.00	0.00	2040.00
Emergency	2025	Α35Μα	Λοιπές διαγνώσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1556.00	0.00	4494.00
Emergency	2025	Β01Χ	Μείζονες ανδρικές πυελικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	EFKA	1	2892.00	3615.00	5179.00
Emergency	2025	Β05Α	Περιτομή	Private	1	458.00	458.00	5864.00
Emergency	2025	Β20Χ	Κακοήθεια του αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	413.00	1032.50	1349.00
Emergency	2025	Γ01Α	Πυελική εξπλάχνιση και ριζική βουλβεκτομή	Public	1	2964.00	1482.00	2034.00
Emergency	2025	Γ06Μ	Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	1649.00	412.25	2719.00
Emergency	2025	Γ10Α	Διαγνωστική υστεροσκόπηση απόξεση	Private	1	425.00	3825.00	3404.00
Emergency	2025	Γ20Χ	Κακοήθεια γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	755.00	0.00	4089.00
Emergency	2025	Δ06Α	Μείζονες επεμβάσεις μαστού	Public	1	1383.00	2305.00	4774.00
Emergency	2025	Δ10Α	Χειρουργικές επεμβάσεις πλαστικής δέρματος. υποδορίου ιστού και μαστού	EFKA	1	672.00	8064.00	5459.00
Emergency	2025	Δ13Μ	Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ή με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού	Private	1	2856.00	0.00	6144.00
Emergency	2025	Δ20Χ	Δερματικά έλκη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1471.00	326.88	1629.00
ICU	2025	Α35Μβ	Λοιπές διαγνώσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	EFKA	1	973.00	0.00	4631.00
ICU	2025	Β02Μ	Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές	Private	1	1719.00	736.71	5316.00
ICU	2025	Β06Μ	Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	1930.00	0.00	6001.00
ICU	2025	Β21Α	Καλοήθης υπερτροφία προστάτη	Public	1	459.00	1377.00	1486.00
ICU	2025	Γ04Μ	Υστερεκτομή για μη κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	2062.00	3299.20	2171.00
ICU	2025	Γ06Χ	Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	1264.00	2528.00	2856.00
ICU	2025	Γ11Α	Άλλες επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα	Uninsured	1	729.00	1944.00	3541.00
ICU	2025	Γ21Α	Λοιμώξεις του γυναικείου αναπαραγωγικού συστήματος	Public	1	475.00	475.00	4226.00
ICU	2025	Δ07Α	Ελάσσονες επεμβάσεις μαστού	EFKA	1	605.00	4840.00	4911.00
ICU	2025	Δ11Α	Άλλες χειρουργικές επεμβάσεις πλαστικής δέρματος. υποδορίου ιστού και μαστού	Private	1	404.00	404.00	5596.00
ICU	2025	Δ13Χ	Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές. χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού	Uninsured	1	915.00	686.25	6281.00
ICU	2025	Δ22Μ	κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	965.00	1351.00	1766.00
Pathology	2025	Α35Χ	Λοιπές διαγνώσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	475.00	950.00	4768.00
Pathology	2025	Β02Χ	Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές	Uninsured	1	1007.00	2685.36	5453.00
Pathology	2025	Β06Χ	Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	1659.00	1659.00	6138.00
Pathology	2025	Β22Α	Φλεγμονή του αντρικού αναπαραγωγικού συστήματος	EFKA	1	545.00	1090.02	1623.00
Pathology	2025	Γ04Χ	Υστερεκτομή για μη κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	Private	1	1525.00	0.00	2308.00
Pathology	2025	Γ07Α	Λοιπές επεμβάσεις μήτρας και εξαρτημάτων για μη κακοήθεια	Uninsured	1	742.00	4452.00	2993.00
Pathology	2025	Γ12Μ	Επέμβαση για κακοήθεια μήτρας και δευτερευόντων οργάνων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Public	1	3576.00	1191.99	3678.00
Pathology	2025	Γ22Α	Διαταραχές εμμήνου ρύσεως και άλλες διαταραχές του γυναικείου αναπαραγωγικού συστήματος	EFKA	1	257.00	1028.00	4363.00
Pathology	2025	Δ08Μ	Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός με συνυπάρχουσες παθήσεις – επιπλοκές	Private	1	2294.00	0.00	5048.00
Pathology	2025	Δ12Μ	Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα. με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	4871.00	0.00	5733.00
Pathology	2025	Δ14Α	Εκτεταμένη πλαστική αποκατάσταση στήθους	Public	1	4198.00	0.00	1218.00
Pathology	2025	Δ22Χ	κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	EFKA	1	688.00	3784.00	1903.00
Surgery	2025	Α34Χ	Διάμεση πνευμονική νόσος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	Uninsured	1	638.00	0.00	4357.00
