Substance_id	Substance_Name	Allergic_Patients	Medicines_Containing
54	Irbesartan	1	111
22	Apixaban	1	271
33	Soft Extract Of Capsicum, (4-7: 1), Corresponding To 4.8 Mg Of Capsaicinoids, Calculated As Capsaicin. Extraction Solvent: Ethanol 80% (V/V)	1	2
1	Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)	1	2
65	Retinol Palmitate, Riboflavin Sodium Phosphate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Pyridoxine Hydrochloride	1	1
44	Calcium, Magnesium	1	6
12	Abacavir, Lamivudine	1	63
76	Prednisolone	1	108
55	Amlodipine	1	245
23	Atorvastatin	1	302
34	Capsaicin	1	16
2	Vitamin A Concentrate (Oily Form), Synthetic	1	3
66	Retinol Palmitate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Riboflavin, Pyridoxine Hydrochloride	1	1
45	Sildenafil	1	287
13	Abacavir	1	10
77	Amlodipine Besilate	1	79
56	Bevacizumab	1	9
24	Fentanyl	1	147
35	Soft Extract From Cayenne Pepper Fruit (4–7:1), Extraction Solvent: Ethanol 80% (V/V)	1	10
3	Acetylsalicylic Acid	1	336
67	Ibuprofen	1	1145
46	Amphotericin B	1	30
14	Zidovudine, Abacavir, Lamivudine	1	3
78	Bilastine	1	147
57	Fentanyl Citrate	1	47
25	Brivaracetam	1	58
36	Cayenne Pepper Soft Extract	1	2
4	Hypericum Perforatum L.	1	2
68	Abietic Acid	1	1
47	Aripiprazole	1	218
15	Abacavir Sulfate, Lamivudine	1	2
79	Hydrocortisone	1	166
58	Castor Oil, Virgin	1	3
26	Abiraterone Acetate	1	174
37	Nonivamide	1	2
5	Tincture From Agnus Castus Fruit (1:10), Extraction Solvent: Ethanol 69.5% V/V	1	2
69	Esomeprazole Magnesium Dihydrate	1	26
48	Drospirenone, Ethinylestradiol	1	297
16	Dabigatran Etexilate	1	183
80	Viscum Album Abietis Ex Herba Recente Col. D30	1	1
59	Sennae Folium	1	21
27	Amoxicillin, Clavulanic Acid	1	375
38	Paracetamol Bp	1	16
6	Benzocaine	1	24
70	Isoconazole Nitrate	1	6
49	Rosuvastatin Calcium	1	63
17	Pefloxacin	1	2
60	Castor Oil, Refined	1	3
28	Tranylcypromine	1	15
39	Fluid Extract From Gentian Root (1: 1), Extraction Solvent: Ethanol 50% (V / V), Fluid Extract Of Wormwood (1:1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Melissa Leaf (1: 1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Acor	1	1
7	Dexamethasone Base	1	1
71	Moxifloxacin	1	98
50	Prucalopride	1	31
18	Pefloxacin Mesilate Dihydrate	1	1
61	Magnesium Sulfate Heptahydrate	1	60
29	Erythromycin	1	53
40	Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350	1	176
8	Dexamethasone Sodium Phosphate	1	108
72	Neomycin, Chlorobutanol, Menthol, Camphor, Cineole, Sylvestris Pine Oil	1	1
51	Lactose Monohydrate, Prucalopride Succinate	1	1
19	Paracetamol	1	858
62	Senna Pods, Tinnevelly	1	2
30	Erythromycin Ethylsuccinate	1	25
41	Lactic Acid, Salicylic Acid	1	20
9	Estriol	1	34
73	Moxifloxacin Hydrochloride	1	58
52	Bendroflumethiazide	1	16
20	Rivaroxaban	1	335
63	Metformin Hydrochloride	1	332
31	Erythromycin Lactobionate	1	15
42	Sildenafil Citrate	1	92
10	Reproterol Hydrochloride, Sodium Cromoglicate	1	2
74	Bimatoprost	1	71
53	Naltrexone Hydrochloride	1	36
21	Insulin Glargine	1	10
64	Fluocinolone Acetonide, Framycetin	1	1
32	Erythromycin Stearate	1	5
43	Idecabtagene Vicleucel	1	1
11	Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol	1	15
75	Abiraterone	1	9
4596	Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate, Sodium Lactate	0	6
4843	Calcium Dobesilate, Lidocaine Hydrochloride	0	1
5090	Reserpinum Dil. D8 Vinos, Coffea Arabica Dil. D6 Vinos, Veratrum Album Dil. D6 Vinos, Passiflora Incarnata Mother Tincture, Gelsemium Dil. D4	0	1
5337	Tick-Borne Encephalitis Virus (Inactivated), Strain K23	0	2
4660	Plumbum Metallicum Dil. D8, Atropa Bella-Donna Dil. D6, Strychnos Nux-Vomica Dil. D6, Carbo Vegetabilis Dil. D8, Citrullus Colocynthis Dil. D4	0	1
4907	Cinchona Pubescens D6, Ferrum Muriaticum D6, Sulfur D30, Lycopodium Clavatum D12	0	1
5154	Soft Extract From Purple Coneflower Herb (Der 30-40: 1), Extraction Solvent: Ethanol 23-30% (V/V)	0	1
5401	Pressed Juice From Fresh Flowering Purple Coneflower Herb (1.5-2.5:1)	0	1
3974	Colchicine, Tiemonium Methylsulphate, Opium, Prepared	0	1
4221	Cuprum Metallicum Praeparatum M	0	1
1042	Juniperus Ashei Buchholz	0	23
5488	Esketamine	0	11
5735	Cardiospermum Halicacabum Ø	0	2
5982	Folic Acid Bp, Ferrous Fumarate Bp	0	1
6229	Docusate Sodium, Glycerol (85 Per Cent)	0	1
548	Fluconazole	0	281
2771	Bivalirudin	0	12
3018	Formoterol Fumarate	0	19
3265	Extract (1:56) Of Rosemary Leaves, Lovage Root And Centaury Herb (1:1:1), Extracting Agents: Ethanol 59% (V/V), Purified Water	0	2
3512	Suxamethonium Chloride	0	22
4038	Pentosan Polysulfate Sodium	0	9
