Department	Date	Shift_Type	Personnel_Category	Subcategory	Personnel_Count
Cardiology	2026-04-01	Evening	Doctor	Cardiology	3
Cardiology	2026-04-01	Evening	Doctor	Pathology	1
Cardiology	2026-04-01	Evening	Nurse	Assistant Nurse	2
Cardiology	2026-04-01	Evening	Nurse	Head Nurse	2
Cardiology	2026-04-01	Evening	Nurse	Nurse	2
Cardiology	2026-04-01	Evening	Staff	IT Support	1
Cardiology	2026-04-01	Evening	Staff	Secretary	1
Cardiology	2026-04-01	Morning	Doctor	Cardiology	3
Cardiology	2026-04-01	Morning	Doctor	Pathology	1
Cardiology	2026-04-01	Morning	Nurse	Assistant Nurse	2
Cardiology	2026-04-01	Morning	Nurse	Head Nurse	2
Cardiology	2026-04-01	Morning	Nurse	Nurse	2
Cardiology	2026-04-01	Morning	Staff	Admissions Clerk	1
Cardiology	2026-04-01	Morning	Staff	IT Support	1
Cardiology	2026-04-01	Night	Doctor	Cardiology	3
Cardiology	2026-04-01	Night	Doctor	Pathology	1
Cardiology	2026-04-01	Night	Nurse	Assistant Nurse	2
Cardiology	2026-04-01	Night	Nurse	Head Nurse	2
Cardiology	2026-04-01	Night	Nurse	Nurse	2
Cardiology	2026-04-01	Night	Staff	Accountant	1
Cardiology	2026-04-01	Night	Staff	Secretary	1
Emergency	2026-04-01	Evening	Doctor	Emergency Medicine	3
Emergency	2026-04-01	Evening	Doctor	Radiology	2
Emergency	2026-04-01	Evening	Nurse	Assistant Nurse	2
Emergency	2026-04-01	Evening	Nurse	Head Nurse	2
Emergency	2026-04-01	Evening	Nurse	Nurse	2
Emergency	2026-04-01	Evening	Staff	Accountant	1
Emergency	2026-04-01	Evening	Staff	Admissions Clerk	1
Emergency	2026-04-01	Morning	Doctor	Emergency Medicine	3
Emergency	2026-04-01	Morning	Doctor	Radiology	2
Emergency	2026-04-01	Morning	Nurse	Assistant Nurse	2
Emergency	2026-04-01	Morning	Nurse	Head Nurse	2
Emergency	2026-04-01	Morning	Nurse	Nurse	2
Emergency	2026-04-01	Morning	Staff	Accountant	1
Emergency	2026-04-01	Morning	Staff	Secretary	1
Emergency	2026-04-01	Night	Doctor	Emergency Medicine	3
Emergency	2026-04-01	Night	Doctor	Radiology	2
Emergency	2026-04-01	Night	Nurse	Assistant Nurse	2
Emergency	2026-04-01	Night	Nurse	Head Nurse	2
Emergency	2026-04-01	Night	Nurse	Nurse	2
Emergency	2026-04-01	Night	Staff	Admissions Clerk	1
Emergency	2026-04-01	Night	Staff	IT Support	1
ICU	2026-04-01	Evening	Doctor	Intensive Care	3
ICU	2026-04-01	Evening	Nurse	Assistant Nurse	2
ICU	2026-04-01	Evening	Nurse	Head Nurse	2
ICU	2026-04-01	Evening	Nurse	Nurse	2
