Urgency_level	Total_Cases	Avg_Wait_Days	Pct_Hospitalised	Total_Hospitalised	Department	Referrals_To_Department
1	60	304.17	73.33	44	Urology	15
1	60	304.17	73.33	44	Pulmonology	15
1	60	304.17	73.33	44	Pathology	14
2	60	300.13	73.33	44	Cardiology	16
2	60	300.13	73.33	44	Radiology	14
2	60	300.13	73.33	44	Gastroenterology	14
3	60	316.05	73.33	44	Surgery	15
3	60	316.05	73.33	44	Nephrology	15
3	60	316.05	73.33	44	Microbiology	14
4	60	308.75	75.00	45	Oncology	15
4	60	308.75	75.00	45	Emergency	15
4	60	308.75	75.00	45	Neurology	15
5	60	301.47	73.33	44	Orthopedics	15
5	60	301.47	73.33	44	Pediatrics	15
5	60	301.47	73.33	44	ICU	14
